127.0.0.1 - - [07/May/2011:07:19:21 +0800] "GET / HTTP/1.1" 404 953
0:0:0:0:0:0:0:1 - - [07/May/2011:07:19:26 +0800] "GET /JDBCDemo/file.jsp HTTP/1.1" 200 1443
0:0:0:0:0:0:0:1 - - [07/May/2011:07:20:12 +0800] "GET /JDBCDemo/file.jsp HTTP/1.1" 200 1443
0:0:0:0:0:0:0:1 - - [07/May/2011:07:20:12 +0800] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [07/May/2011:07:20:14 +0800] "GET /JDBCDemo/download.do?id=14 HTTP/1.1" 200 49248
0:0:0:0:0:0:0:1 - - [07/May/2011:07:23:28 +0800] "GET /JDBCDemo/download.do?id=14 HTTP/1.1" 500 1347
0:0:0:0:0:0:0:1 - - [07/May/2011:07:23:32 +0800] "GET /JDBCDemo/file.jsp HTTP/1.1" 200 1443
0:0:0:0:0:0:0:1 - - [07/May/2011:07:23:47 +0800] "GET /JDBCDemo/download.do?id=14 HTTP/1.1" 200 41006
0:0:0:0:0:0:0:1 - - [07/May/2011:07:24:40 +0800] "GET /JDBCDemo/download.do?id=14 HTTP/1.1" 200 41006
