what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299566662864
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299566663315
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1299566666194
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299566666698
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1299566666726
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299566669595
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299566670565
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299566671812
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299566672488
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299566672895
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299566675749
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299566676971
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299566690214
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1299566691920
started,bundle,org.eclipse.wst.html.core,1.1.404.v201101190004,"org.eclipse.wst.html.core",1299566693984
started,bundle,org.eclipse.wst.css.core,1.1.402.v201102031915,"org.eclipse.wst.css.core",1299566694085
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1299566694117
started,bundle,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.ui",1299566694230
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.0.v20100602,"org.eclipse.jst.jsf.facelet.ui",1299566694240
started,bundle,org.eclipse.jst.jsf.ui,1.3.1.v20100906,"org.eclipse.jst.jsf.ui",1299566694253
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.304.v201012160349,"org.eclipse.wst.jsdt.web.ui",1299566694256
started,bundle,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.ui",1299566694276
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1299566694300
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.304.v201102160550,"org.eclipse.wst.jsdt.web.core",1299566694319
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299566695046
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299566701126
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1299566701420
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1299566701666
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1299566702785
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1299566703149
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299566703518
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299566712103
