what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299641795788
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299641798842
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299641799763
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299641801967
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299641803624
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299641812870
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1299641814494
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299641815910
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299641817276
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299641818021
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1299641820228
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299641825775
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299641835750
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1299641837292
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1299641837508
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299641838187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299641838445
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299641848169
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299641850483
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299641851496
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299641854391
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299641855459
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1299641856806
