what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1299638742937
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299638745254
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639061525
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639063261
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639066030
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1299639077489
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1299639080781
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1299639080828
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639081221
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639085759
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1299639086604
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299639088982
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299639091735
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1299639092267
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299639092809
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299639097012
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299639098638
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639098874
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639135468
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1299639138055
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299639145527
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299639154614
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1299639159645
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1299639161986
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639165078
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639166543
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639166588
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639167341
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1299639167357
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639168090
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1299639174139
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639174174
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1299639174189
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639177216
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639178575
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639181322
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639189663
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1299639192682
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299639194103
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639197517
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639206712
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299639212099
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639212351
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639215526
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639216950
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639349364
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639350846
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639463203
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639463856
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639469861
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639470622
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639495548
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639496113
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639503496
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639504217
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639525438
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639525962
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299639528605
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299639532922
